54655,1232618023,2,03APR2007,06APR2011                                          
49,1232648239,1,07APR2007,15APR2011                                             
4,1232654929,3,08APR2007,09APR2011                                              
11171,1232672914,3,11APR2007,13APR2011                                          
9,1232698281,3,15APR2007,20APR2011                                              
4,1232709099,1,16APR2007,16APR2011                                              
34,1232709115,1,16APR2007,16APR2011                                             
41,1232723799,3,19APR2007,23APR2011                                             
5,1232728634,2,19APR2007,23APR2011                                              
61,1232758397,1,24APR2007,24APR2011                                             
19,1232770549,1,26APR2007,29APR2011                                             
50,1232770553,1,26APR2007,26APR2011                                             
215,1232777080,1,27APR2007,27APR2011                                            
195,1232790793,1,29APR2007,29APR2011                                            
