1230058123 1 11JAN2007                                                          
1230080101 2 15JAN2007                                                          
1230106883 2 20JAN2007                                                          
1230147441 1 28JAN2007                                                          
1230315085 1 27FEB2007                                                          
1230333319 2 02MAR2007                                                          
1230338566 2 03MAR2007                                                          
1230371142 2 09MAR2007                                                          
1230404278 1 15MAR2007                                                          
1230440481 1 22MAR2007                                                          
1230450371 2 24MAR2007                                                          
1230453723 2 24MAR2007                                                          
1230455630 1 25MAR2007                                                          
1230478006 2 28MAR2007                                                          
1230498538 1 01APR2007                                                          
1230500669 3 02APR2007                                                          
1230503155 2 02APR2007                                                          
1230591673 2 18APR2007                                                          
1230591675 3 18APR2007                                                          
1230591684 1 18APR2007                                                          
1230619748 2 24APR2007                                                          
1230642273 2 28APR2007                                                          
1230657844 3 01MAY2007                                                          
1230690733 3 07MAY2007                                                          
1230699509 2 08MAY2007                                                          
1230700421 2 08MAY2007                                                          
1230738723 2 15MAY2007                                                          
1230744524 2 16MAY2007                                                          
1230745294 1 16MAY2007                                                          
1230754828 1 18MAY2007                                                          
1230771337 2 21MAY2007                                                          
1230778996 1 23MAY2007                                                          
1230793366 2 25MAY2007                                                          
1230804171 2 27MAY2007                                                          
1230825762 1 31MAY2007                                                          
1230841456 2 03JUN2007                                                          
1230841466 1 03JUN2007                                                          
1230885738 1 11JUN2007                                                          
1230912536 1 16JUN2007                                                          
1230931366 3 20JUN2007                                                          
1231002241 3 03JUL2007                                                          
1231008713 2 04JUL2007                                                          
1231014780 2 04JUL2007                                                          
1231023774 1 07JUL2007                                                          
1231035308 2 09JUL2007                                                          
1231071449 3 15JUL2007                                                          
1231077006 1 16JUL2007                                                          
1231094514 2 20JUL2007                                                          
1231135703 1 27JUL2007                                                          
1231169108 1 02AUG2007                                                          
1231176288 1 04AUG2007                                                          
1231188317 2 06AUG2007                                                          
1231194004 3 06AUG2007                                                          
1231204878 1 08AUG2007                                                          
1231206746 1 09AUG2007                                                          
1231227910 2 13AUG2007                                                          
1231231220 1 13AUG2007                                                          
1231259703 1 18AUG2007                                                          
1231270767 3 20AUG2007                                                          
1231292064 1 24AUG2007                                                          
1231305521 2 27AUG2007                                                          
1231305531 2 27AUG2007                                                          
1231314893 1 28AUG2007                                                          
1231316727 2 28AUG2007                                                          
1231317443 2 29AUG2007                                                          
1231341359 1 02SEP2007                                                          
1231392762 3 11SEP2007                                                          
1231414059 3 15SEP2007                                                          
1231453831 3 23SEP2007                                                          
1231468750 1 25SEP2007                                                          
1231500373 2 01OCT2007                                                          
1231501254 1 01OCT2007                                                          
1231522431 3 05OCT2007                                                          
1231544990 2 09OCT2007                                                          
1231614059 2 22OCT2007                                                          
1231619928 2 23OCT2007                                                          
1231653765 3 29OCT2007                                                          
1231657078 1 29OCT2007                                                          
1231663230 1 30OCT2007                                                          
1231734609 2 12NOV2007                                                          
1231734615 3 12NOV2007                                                          
1231757107 1 16NOV2007                                                          
1231773634 2 19NOV2007                                                          
1231780610 1 20NOV2007                                                          
1231842118 2 01DEC2007                                                          
1231858937 1 04DEC2007                                                          
1231861295 2 05DEC2007                                                          
1231891098 1 10DEC2007                                                          
1231896710 1 11DEC2007                                                          
1231898348 1 12DEC2007                                                          
1231908237 1 14DEC2007                                                          
1231928627 1 17DEC2007                                                          
1231930216 1 18DEC2007                                                          
1231936241 1 19DEC2007                                                          
1231950921 2 21DEC2007                                                          
1231952752 2 22DEC2007                                                          
1231953192 3 22DEC2007                                                          
1231956902 1 22DEC2007                                                          
1231976710 3 26DEC2007                                                          
1231982684 1 27DEC2007                                                          
1231986335 1 28DEC2007                                                          
1232007930 3 31DEC2007                                                          
1232007693 2 31DEC2007                                                          
1232007700 1 31DEC2007                                                          
