54655,1234235150,2,02DEC2007,05DEC2011                                          
49,1234247283,1,03DEC2007,03DEC2011                                             
17,1234255111,1,04DEC2007,04DEC2011                                             
23,1234279341,2,08DEC2007,12DEC2011                                             
92,1234301319,1,11DEC2007,11DEC2011                                             
70210,1234323012,3,15DEC2007,16DEC2011                                          
4,1234348668,1,18DEC2007,18DEC2011                                              
17,1234360543,1,20DEC2007,20DEC2011                                             
12,1234373539,1,22DEC2007,22DEC2011                                             
111,1234414529,1,29DEC2007,29DEC2011                                            
17,1234419240,1,29DEC2007,29DEC2011                                             
