19,1232805509,1,01MAY2007,03MAY2011                                             
45,1232857157,2,08MAY2007,12MAY2011                                             
908,1232889267,2,13MAY2007,17MAY2011                                            
34,1232897220,1,14MAY2007,14MAY2011                                             
544,1232936635,2,20MAY2007,21MAY2011                                            
111,1232946301,2,22MAY2007,24MAY2011                                            
52,1232956741,3,23MAY2007,24MAY2011                                             
171,1232972274,1,26MAY2007,26MAY2011                                            
183,1232985693,1,28MAY2007,28MAY2011                                            
4,1232998740,1,29MAY2007,29MAY2011                                              
34,1233003688,1,30MAY2007,30MAY2011                                             
